1000	14
1001	10
1002	33
1003	48
1004	20
1005	39
1006	00
1007	10
1008	36
1009	28
100a	10
100b	30
100c	30
100d	10
100e	15
100f	48
1010	20
1011	61
1012	3C
1013	10
1014	03
1015	00
1016	10
1017	2A
1018	0C
1019	10
101a	39
101b	00
101c	12
101d	0D
101e	0C
101f	10
1020	36
1021	48
1022	20
1023	61
1024	08
1025	10
1026	33
1027	4C
1028	00
1029	00
102a	45
102b	4F
102c	46
102d	00
102e	00
102f	03
1030	00
1031	00
1032	00
1033	XX
1034	XX
1035	XX
1036	XX
1037	XX
1038	XX
1039	38
103a	20
103b	64
103c	4C
103d	00
103e	00
103f	00
1040	00
1041	00
